request_number,timestamp,latency_ms,success,prediction,error
1,2025-11-11T10:05:35.763084,55.56,True,FAKE,
2,2025-11-11T10:05:35.816606,53.27,True,FAKE,
3,2025-11-11T10:05:35.862181,45.34,True,FAKE,
4,2025-11-11T10:05:35.910445,48.17,True,FAKE,
5,2025-11-11T10:05:35.963978,53.41,True,FAKE,
6,2025-11-11T10:05:36.013893,49.73,True,FAKE,
7,2025-11-11T10:05:36.063999,49.95,True,FAKE,
8,2025-11-11T10:05:36.119755,55.62,True,FAKE,
9,2025-11-11T10:05:36.170744,50.82,True,FAKE,
10,2025-11-11T10:05:36.213741,42.82,True,FAKE,
11,2025-11-11T10:05:36.263481,49.59,True,FAKE,
12,2025-11-11T10:05:36.314052,50.47,True,FAKE,
13,2025-11-11T10:05:36.364184,50.02,True,FAKE,
14,2025-11-11T10:05:36.418146,53.76,True,FAKE,
15,2025-11-11T10:05:36.472477,53.98,True,FAKE,
16,2025-11-11T10:05:36.520063,47.46,True,FAKE,
17,2025-11-11T10:05:36.570607,50.39,True,FAKE,
18,2025-11-11T10:05:36.620760,49.98,True,FAKE,
19,2025-11-11T10:05:36.684392,63.48,True,FAKE,
20,2025-11-11T10:05:36.753364,68.02,True,FAKE,
21,2025-11-11T10:05:36.802262,48.70,True,FAKE,
22,2025-11-11T10:05:36.850511,48.13,True,FAKE,
23,2025-11-11T10:05:36.902038,51.37,True,FAKE,
24,2025-11-11T10:05:36.947801,45.62,True,FAKE,
25,2025-11-11T10:05:36.995601,47.66,True,FAKE,
26,2025-11-11T10:05:37.038147,42.41,True,FAKE,
27,2025-11-11T10:05:37.087318,48.99,True,FAKE,
28,2025-11-11T10:05:37.129846,42.39,True,FAKE,
29,2025-11-11T10:05:37.176805,46.76,True,FAKE,
30,2025-11-11T10:05:37.218271,41.27,True,FAKE,
31,2025-11-11T10:05:37.266332,47.90,True,FAKE,
32,2025-11-11T10:05:37.315913,49.43,True,FAKE,
33,2025-11-11T10:05:37.366904,50.84,True,FAKE,
34,2025-11-11T10:05:37.413752,46.63,True,FAKE,
