request_number,timestamp,latency_ms,success,prediction,error
1,2025-11-11T10:05:40.848002,47.30,True,REAL,
2,2025-11-11T10:05:40.908434,60.32,True,REAL,
3,2025-11-11T10:05:40.957824,49.25,True,REAL,
4,2025-11-11T10:05:41.004686,46.71,True,REAL,
5,2025-11-11T10:05:41.061165,56.34,True,REAL,
6,2025-11-11T10:05:41.108847,47.57,True,REAL,
7,2025-11-11T10:05:41.159744,50.78,True,REAL,
8,2025-11-11T10:05:41.209864,50.00,True,REAL,
9,2025-11-11T10:05:41.258187,48.21,True,REAL,
10,2025-11-11T10:05:41.312394,54.08,True,REAL,
11,2025-11-11T10:05:41.359990,47.29,True,REAL,
12,2025-11-11T10:05:41.410189,50.00,True,REAL,
13,2025-11-11T10:05:41.457989,47.66,True,REAL,
14,2025-11-11T10:05:41.510231,52.10,True,REAL,
15,2025-11-11T10:05:41.557914,47.47,True,REAL,
16,2025-11-11T10:05:41.609919,51.86,True,REAL,
17,2025-11-11T10:05:41.667996,57.99,True,REAL,
18,2025-11-11T10:05:41.724539,56.45,True,REAL,
19,2025-11-11T10:05:41.777335,52.74,True,REAL,
20,2025-11-11T10:05:41.832207,54.79,True,REAL,
21,2025-11-11T10:05:41.883915,51.59,True,REAL,
22,2025-11-11T10:05:41.932580,48.55,True,REAL,
23,2025-11-11T10:05:41.980104,47.42,True,REAL,
24,2025-11-11T10:05:42.028285,48.08,True,REAL,
25,2025-11-11T10:05:42.076410,47.98,True,REAL,
26,2025-11-11T10:05:42.129985,53.19,True,REAL,
27,2025-11-11T10:05:42.180253,50.13,True,REAL,
28,2025-11-11T10:05:42.226553,46.05,True,REAL,
29,2025-11-11T10:05:42.281343,54.58,True,REAL,
30,2025-11-11T10:05:42.331366,49.94,True,REAL,
31,2025-11-11T10:05:42.385940,54.49,True,REAL,
32,2025-11-11T10:05:42.435438,49.42,True,REAL,
33,2025-11-11T10:05:42.484520,48.99,True,REAL,
34,2025-11-11T10:05:42.534669,50.05,True,REAL,
35,2025-11-11T10:05:42.586252,51.48,True,REAL,
36,2025-11-11T10:05:42.637798,51.45,True,REAL,
37,2025-11-11T10:05:42.686401,48.52,True,REAL,
38,2025-11-11T10:05:42.737432,50.93,True,REAL,
39,2025-11-11T10:05:42.787575,50.03,True,REAL,
40,2025-11-11T10:05:42.838345,50.69,True,REAL,
41,2025-11-11T10:05:42.894375,55.95,True,REAL,
42,2025-11-11T10:05:42.941938,47.47,True,REAL,
